title,authors,journal,year,pmid,url
Telehealth Emergency Department Transition-of-care Program: A Value-based Innovation.,"Allyson Kreshak, Itzik Fadlon, Karna Malaviya, et al.",The western journal of emergency medicine,2025,41193006,https://pubmed.ncbi.nlm.nih.gov/41193006/
OUTPACE: Outcomes of urinary incontinence treatment in primary care - APP co-management and electronic consult.,"C Pangelina, J Bergman, T Cheng, et al.",Contemporary clinical trials,2025,40268237,https://pubmed.ncbi.nlm.nih.gov/40268237/
Factors Influencing Primary Care Physicians' Intent to Refer Patients With Hypertension to a Digital Remote Blood Pressure Monitoring Program: Mixed Methods Study.,"Jennifer J Wu, Ross Graham, Julie Çelebi, et al.",Journal of medical Internet research,2025,40126550,https://pubmed.ncbi.nlm.nih.gov/40126550/
Leveraging diagnosis and biometric data from the All of Us Research Program to uncover disparities in obesity diagnosis.,"Alina Arseniev-Koehler, Ming Tai-Seale, Crystal W Cené, et al.",Obesity pillars,2025,40028616,https://pubmed.ncbi.nlm.nih.gov/40028616/
Learning health system research as a catalyst for promoting physician wellness: EHR InBasket Spring cleaning and team-based compassion practice.,"Ming Tai-Seale, Amanda Walker, Yuwei Cheng, et al.",Learning health systems,2025,39822924,https://pubmed.ncbi.nlm.nih.gov/39822924/
