title,authors,journal,year,date,pmid,url
Telehealth Emergency Department Transition-of-care Program: A Value-based Innovation.,"Allyson Kreshak, Itzik Fadlon, Karna Malaviya, Vaishal Tolia, Lindsey Pierce, Theodore Chan, Parag Agnihotri, Ming Tai-Seale",The western journal of emergency medicine,2025,"Sep 01, 2025",41193006,https://pubmed.ncbi.nlm.nih.gov/41193006/
OUTPACE: Outcomes of urinary incontinence treatment in primary care - APP co-management and electronic consult.,"C Pangelina, J Bergman, T Cheng, R Fantus, A Galvez, G Gin, T Grisales, J Koola, E S Lukacz, M Millen, A Moore, K Okamuro, D Reuben, Y Santiago-Lastra, J Singer, M Suarez, M Tai-Seale, F Vaida, C Souders, J Anger",Contemporary clinical trials,2025,Jun 2025,40268237,https://pubmed.ncbi.nlm.nih.gov/40268237/
Factors Influencing Primary Care Physicians' Intent to Refer Patients With Hypertension to a Digital Remote Blood Pressure Monitoring Program: Mixed Methods Study.,"Jennifer J Wu, Ross Graham, Julie Çelebi, Kevin Fraser, Geneen T Gin, Laurel Dang, Esmatullah Hatamy, Amanda Walker, Courtney Barbato, Ottar Lunde, Lisa Coles, Parag Agnihotri, Cassandra Morn, Ming Tai-Seale",Journal of medical Internet research,2025,"Mar 24, 2025",40126550,https://pubmed.ncbi.nlm.nih.gov/40126550/
Leveraging diagnosis and biometric data from the All of Us Research Program to uncover disparities in obesity diagnosis.,"Alina Arseniev-Koehler, Ming Tai-Seale, Crystal W Cené, Eduardo Grunvald, Amy Sitapati",Obesity pillars,2025,Mar 2025,40028616,https://pubmed.ncbi.nlm.nih.gov/40028616/
Learning health system research as a catalyst for promoting physician wellness: EHR InBasket Spring cleaning and team-based compassion practice.,"Ming Tai-Seale, Amanda Walker, Yuwei Cheng, Nathan Yung, Sophie Webb, Ottar Lunde, David Bazzo, Ammar Mandvi, Neal Doran, Gene Kallenberg, Christopher A Longhurst, Sidney Zisook, Thomas J Savides, Marlene Millen, Lin Liu",Learning health systems,2025,Jan 2025,39822924,https://pubmed.ncbi.nlm.nih.gov/39822924/
